ID	sex	level	constellation	birthday	country	province	city	address	diet_prefer	memo	hobby	price	stores
1031	2	1	12	1984	109	12	7	台江区工业路393号	甜	抗压力,滑板	冒险类	429	Kl2Mb
1032	1	8	4	1980	184	10	1	晋安区后浦路176号	苦	不计较,跑步	娱乐类	467	EoKAz
1033	1	9	7	1983	111	15	6	晋安区连福路370号	苦	爱玩,滑板	冒险类	147	rRetv
1034	1	4	2	1996	98	11	1	晋安区福马路371号	甜	跨界思维,桌球	乐器类	123	Xin0j
1035	2	3	4	2006	27	3	15	晋安区长春路711号	苦	非常冷静,爬山	运动类	168	sSdPE
1036	1	8	3	2010	100	14	7	鼓楼区福新路200号	苦	幽默,滑旱冰	运动类	108	jQ41G
1037	1	3	7	2006	63	9	13	台江区大同路638号	辣	好奇,举重	乐器类	427	ygsVl
1038	1	1	6	1979	42	10	10	台江区广达路732号	酸	爱玩,滑旱冰	游戏类	422	s9GiM
1039	2	8	5	1989	148	20	6	鼓楼区福新路180号	咸	创造力,滑板	冒险类	108	JhG0U
1040	2	6	11	2007	15	7	13	鼓楼区白马路914号	酸	创造力,爬山	娱乐类	331	xx9hJ
1041	2	9	8	2002	200	9	8	鼓楼区福新路774号	咸	好奇,滑板	乐器类	303	7ZpS8
1042	1	1	4	1984	23	12	7	晋安区后浦路604号	酸	勇敢,跳绳	收藏类	102	eq5KQ
1043	2	10	2	1991	48	12	11	台江区长乐南路435号	辣	洞察力,乒乓球	运动类	182	Z4hjK
1044	1	5	11	1982	135	6	10	晋安区后浦路186号	酸	创造力,跑步	游戏类	148	toCmM
1045	2	7	4	1990	170	15	8	台江区广达路394号	咸	非常冷静,篮球	运动类	341	f2Iei
1046	2	10	5	2008	119	5	2	台江区长乐南路503号	辣	不计较,足球	收藏类	274	mUOyt
1047	1	8	7	2007	35	17	14	台江区工业路120号	苦	直觉好,爬山	娱乐类	131	O2qo2
1048	2	8	6	1990	44	9	14	晋安区赤星路403号	苦	知性,爬山	冒险类	250	6Cn0T
1049	2	7	10	2009	16	9	7	晋安区长春路97号	甜	好奇,举重	冒险类	496	f6qwu
1050	2	2	7	1995	173	11	8	晋安区连福路19号	苦	不计较,篮球	运动类	284	b181E
1051	1	3	2	1978	9	8	10	鼓楼区达明路292号	甜	创造力,举重	游戏类	173	ptqhH
1052	2	3	5	1998	165	1	15	台江区长乐南路807号	辣	跨界思维,爬山	乐器类	218	AxsFM
1053	2	9	8	1972	105	13	3	台江区大同路59号	苦	直觉好,篮球	运动类	319	pQWMH
1054	2	1	7	2010	134	20	9	鼓楼区福新路509号	苦	知性,举重	冒险类	378	UGjXv
1055	1	10	6	2003	128	10	2	鼓楼区达明路864号	咸	不计较,足球	游戏类	93	Fac3d
1056	1	9	9	2002	65	5	11	台江区广达路375号	酸	知性,爬山	娱乐类	75	VIJUZ
1057	2	8	1	2002	116	19	8	鼓楼区福新路991号	酸	勇敢,滑板	冒险类	252	VfExS
1058	2	4	10	1999	70	16	7	晋安区福马路268号	苦	跨界思维,举重	乐器类	318	zQ3Zr
1059	1	9	8	1977	130	11	3	晋安区长春路992号	甜	直觉好,跑步	收藏类	437	AIhHQ
1060	2	6	1	1980	72	15	2	晋安区连福路777号	酸	创造力,乒乓球	娱乐类	118	Mgm77
1061	2	7	10	1994	23	12	12	台江区长乐南路366号	酸	非常冷静,跳绳	冒险类	486	BrDfM
1062	1	1	10	2006	41	5	5	鼓楼区福新路350号	甜	幽默,跳绳	娱乐类	332	c5zvy
1063	2	1	12	1980	66	20	4	鼓楼区八一七路315号	辣	好奇,乒乓球	冒险类	111	NqQBr
1064	1	5	10	2003	51	6	8	晋安区后浦路636号	辣	不计较,足球	智力类	245	Oo0IT
1065	1	8	2	1986	152	11	8	台江区工业路198号	苦	不计较,举重	智力类	134	MgRT5
1066	2	2	11	1988	54	12	7	台江区大同路436号	苦	跨界思维,爬山	乐器类	486	uLrah
1067	2	9	1	1991	175	17	2	台江区长乐南路340号	咸	抗压力,足球	娱乐类	247	qTXpV
1068	1	9	7	2010	115	6	12	鼓楼区达明路15号	咸	跨界思维,篮球	冒险类	342	q3TO2
1069	2	10	3	1995	14	12	6	鼓楼区福新路604号	辣	洞察力,滑旱冰	冒险类	221	1yLS5
1070	1	2	9	1985	160	5	6	台江区广达路460号	苦	爱玩,跳绳	智力类	232	137YJ
1071	2	6	4	2008	180	2	9	鼓楼区白马路443号	甜	创造力,足球	收藏类	400	Z76Rz
1072	2	8	5	1977	49	15	5	晋安区长春路494号	咸	勇敢,乒乓球	娱乐类	398	87zcy
1073	1	7	3	2002	118	16	8	晋安区赤星路757号	甜	好奇,跑步	娱乐类	456	53Zeq
1074	1	1	8	1999	51	4	13	鼓楼区达明路857号	甜	好奇,举重	乐器类	199	01I7J
1075	1	8	9	1986	104	10	13	晋安区福马路992号	咸	不计较,篮球	收藏类	277	PQsuK
1076	1	8	10	1979	25	18	7	台江区大同路84号	甜	不计较,爬山	冒险类	145	1yhvv
1077	1	3	4	1979	156	9	1	鼓楼区达明路589号	咸	非常冷静,跑步	智力类	255	TOfW8
1078	2	1	5	2010	192	17	14	台江区长乐南路261号	甜	非常冷静,滑旱冰	收藏类	409	gHWmW
1079	1	2	7	2004	71	7	3	晋安区长春路983号	甜	跨界思维,举重	冒险类	188	HKouB
1080	1	1	2	2010	90	20	12	晋安区福马路316号	辣	抗压力,桌球	乐器类	149	YsrLO
1081	1	10	5	2003	78	20	3	晋安区长春路883号	酸	跨界思维,跳绳	收藏类	312	eI9bL
1082	2	7	2	1993	179	20	10	台江区广达路117号	咸	幽默,乒乓球	收藏类	75	0ohjH
1083	2	9	11	2004	151	10	2	晋安区福马路112号	酸	善於分析,乒乓球	收藏类	277	SSyMz
1084	1	9	8	2010	190	3	6	鼓楼区八一七路998号	酸	非常冷静,桌球	收藏类	415	6QhNu
1085	1	5	2	1984	155	14	6	台江区大同路116号	辣	非常冷静,跑步	运动类	76	7edd9
1086	1	9	10	1985	11	5	12	台江区长乐南路381号	苦	直觉好,跳绳	智力类	199	bszLB
1087	2	7	6	1971	164	20	9	鼓楼区福新路711号	咸	知性,足球	运动类	92	H1gw2
1088	2	9	7	1995	151	10	10	台江区长乐南路66号	甜	知性,篮球	运动类	458	goITH
1089	1	2	11	1998	107	20	12	晋安区福马路232号	苦	抗压力,爬山	收藏类	346	qVdtE
1090	1	9	7	1986	19	20	14	台江区长乐南路754号	甜	非常冷静,跑步	游戏类	100	LGUHF
1091	2	9	8	1994	59	4	15	晋安区赤星路597号	辣	善於分析,滑板	收藏类	123	OB8zL
1092	2	7	4	1992	63	2	3	台江区大同路281号	酸	跨界思维,滑板	收藏类	298	Jg52n
1093	2	7	6	1971	174	9	13	鼓楼区白马路619号	酸	知性,篮球	娱乐类	414	i0EA3
1094	1	8	7	1974	10	13	15	晋安区赤星路438号	酸	跨界思维,举重	运动类	201	K0gmx
1095	1	2	1	1996	83	15	9	鼓楼区八一七路56号	酸	洞察力,篮球	收藏类	450	6LtB5
1096	1	1	10	1974	135	20	3	鼓楼区福新路532号	甜	好奇,篮球	智力类	441	UuFgB
1097	1	10	9	1995	61	5	12	晋安区连福路325号	酸	好奇,跑步	智力类	456	Br0j2
1098	2	2	3	1991	142	8	10	鼓楼区福新路17号	酸	非常冷静,篮球	收藏类	137	Kv6ec
1099	1	9	2	1976	173	13	7	晋安区福马路835号	咸	抗压力,爬山	游戏类	482	cjKu9
1100	2	2	2	1984	139	3	5	台江区鳌峰路182号	甜	抗压力,乒乓球	娱乐类	402	3ytfO
1101	1	4	4	2000	51	9	3	晋安区长春路991号	咸	洞察力,跳绳	智力类	256	dytke
1102	1	2	1	1992	93	14	5	鼓楼区八一七路1000号	辣	非常冷静,乒乓球	冒险类	435	IsZcj
1103	1	2	7	1999	112	20	14	鼓楼区福新路203号	甜	爱玩,足球	冒险类	105	mwMFM
1104	2	1	4	2009	49	18	4	台江区工业路961号	苦	抗压力,爬山	游戏类	252	VVVNs
1105	1	1	10	1970	110	6	3	鼓楼区达明路578号	咸	创造力,乒乓球	运动类	311	UPQ2u
1106	2	2	7	2000	142	8	11	晋安区福马路475号	咸	跨界思维,跳绳	冒险类	287	XhzLq
1107	2	5	4	1994	38	15	11	晋安区后浦路345号	酸	非常冷静,滑旱冰	冒险类	99	nYhPp
1108	1	3	3	1986	95	16	3	晋安区赤星路550号	苦	勇敢,滑旱冰	乐器类	377	U1zrB
1109	2	2	4	1989	196	19	8	晋安区福马路275号	苦	好奇,爬山	乐器类	152	gl02g
1110	2	8	12	1983	31	11	3	鼓楼区达明路906号	咸	勇敢,跑步	游戏类	371	q207Q
1111	2	2	5	1973	87	16	10	鼓楼区达明路303号	酸	好奇,足球	冒险类	89	M8kLC
1112	2	8	3	2000	157	1	4	鼓楼区八一七路887号	咸	洞察力,滑板	收藏类	277	4FKIW
1113	2	1	3	1972	69	7	15	台江区大同路418号	咸	跨界思维,乒乓球	游戏类	486	u23OI
1114	2	4	3	1982	114	12	12	晋安区长春路100号	甜	幽默,跳绳	智力类	329	XyQcI
1115	1	9	2	1997	9	4	6	台江区鳌峰路990号	酸	非常冷静,跑步	运动类	271	hOG8e
1116	1	5	11	1980	197	9	5	晋安区长春路804号	辣	跨界思维,桌球	娱乐类	138	HrQnh
1117	2	3	5	2002	171	8	11	晋安区连福路716号	甜	好奇,足球	冒险类	114	4415p
1118	1	9	1	1982	128	4	9	晋安区后浦路575号	苦	知性,桌球	智力类	429	GjO2A
1119	2	1	10	2003	168	13	11	鼓楼区八一七路529号	咸	勇敢,足球	冒险类	366	ynQNV
1120	1	10	9	1995	162	13	8	晋安区福马路659号	苦	直觉好,篮球	收藏类	151	eZhmh
1121	1	1	8	1982	76	10	11	鼓楼区八一七路758号	咸	知性,足球	智力类	392	5tRML
1122	2	9	12	1985	124	1	9	台江区工业路945号	辣	好奇,足球	运动类	372	u5Myr
1123	1	2	7	1993	129	4	8	晋安区连福路735号	酸	洞察力,跳绳	乐器类	323	Nr4k6
1124	2	10	9	2005	135	8	4	鼓楼区福新路106号	酸	洞察力,足球	娱乐类	309	8S4GH
1125	1	5	7	1989	166	4	1	晋安区连福路448号	甜	不计较,爬山	游戏类	374	9ePHv
1126	2	2	4	1991	20	8	15	鼓楼区白马路899号	咸	善於分析,滑板	乐器类	145	j3UmN
1127	1	3	3	2009	156	9	13	晋安区赤星路974号	咸	创造力,滑旱冰	运动类	445	BhWPH
1128	1	3	9	1988	60	18	10	晋安区后浦路672号	甜	善於分析,爬山	运动类	182	1DAXs
1129	1	9	4	1983	137	4	12	晋安区连福路326号	苦	直觉好,滑板	游戏类	138	c6Ren
1130	1	8	12	2005	15	15	2	晋安区赤星路407号	甜	跨界思维,桌球	娱乐类	87	Cd5UK
1131	1	9	3	1987	127	9	3	台江区工业路423号	酸	创造力,滑旱冰	智力类	376	icxxr
1132	2	9	7	1980	171	5	2	晋安区长春路514号	苦	勇敢,桌球	游戏类	379	ACxH2
1133	1	2	10	2008	189	17	10	鼓楼区福新路314号	苦	爱玩,乒乓球	运动类	158	Z6zh6
1134	1	2	3	1995	27	7	9	鼓楼区达明路70号	辣	爱玩,乒乓球	收藏类	422	tlZKZ
1135	2	5	3	2002	122	5	4	台江区大同路34号	苦	善於分析,跑步	运动类	412	cMiGa
1136	2	9	4	1999	181	20	3	台江区广达路412号	甜	跨界思维,举重	乐器类	230	KOuuS
1137	2	5	4	1974	35	18	4	台江区长乐南路627号	苦	抗压力,乒乓球	乐器类	368	bWnV7
1138	2	6	5	2001	38	8	14	晋安区赤星路227号	酸	直觉好,滑板	冒险类	133	EjuTi
1139	1	5	5	2004	66	11	9	鼓楼区福新路822号	咸	直觉好,滑旱冰	游戏类	272	kDhhy
1140	1	8	2	1970	106	12	1	台江区大同路341号	苦	不计较,滑板	智力类	85	LvtfY
1141	1	6	7	1990	87	3	13	鼓楼区达明路239号	咸	善於分析,滑板	游戏类	419	omvxa
1142	1	2	8	1982	109	11	7	鼓楼区八一七路612号	甜	创造力,滑板	运动类	211	hv2ET
1143	1	5	5	1992	63	4	3	台江区工业路327号	酸	洞察力,桌球	收藏类	487	bTcMR
1144	2	7	7	1979	67	16	8	晋安区后浦路720号	酸	直觉好,滑板	运动类	65	krroH
1145	1	2	3	1994	50	17	4	台江区大同路114号	辣	洞察力,足球	乐器类	94	oNbBo
1146	2	5	2	1988	110	5	9	晋安区连福路98号	辣	跨界思维,滑旱冰	运动类	437	sbiIE
1147	2	5	12	1996	132	13	10	晋安区长春路546号	苦	不计较,跑步	运动类	343	YFd3i
1148	1	1	12	2008	157	13	11	鼓楼区福新路727号	酸	跨界思维,滑旱冰	运动类	207	cmu3U
1149	2	8	8	1993	141	3	15	鼓楼区白马路939号	酸	抗压力,爬山	乐器类	179	6TsKr
1150	1	8	12	1991	143	5	6	晋安区长春路166号	辣	洞察力,爬山	冒险类	306	Z7O9J
1151	1	8	4	2000	146	1	9	晋安区长春路650号	酸	善於分析,乒乓球	游戏类	217	bFsYP
1152	2	6	4	2001	154	18	13	晋安区福马路675号	苦	直觉好,滑旱冰	乐器类	181	k87mP
1153	2	8	10	2003	105	3	2	台江区大同路115号	酸	爱玩,爬山	收藏类	200	IBtTo
1154	1	3	7	2008	37	10	1	台江区广达路148号	咸	直觉好,乒乓球	冒险类	282	taB8x
1155	1	5	10	2005	79	9	10	鼓楼区达明路6号	咸	洞察力,足球	乐器类	206	MBMGY
1156	1	2	11	1974	166	20	14	台江区广达路549号	酸	爱玩,篮球	收藏类	277	fjF8C
1157	2	8	8	2008	35	12	7	鼓楼区达明路670号	苦	好奇,举重	娱乐类	171	jkCSV
1158	2	4	2	1993	29	12	11	鼓楼区八一七路599号	辣	幽默,篮球	游戏类	54	e2JDL
1159	1	1	5	2005	24	1	11	鼓楼区八一七路427号	辣	洞察力,桌球	冒险类	428	nx2Vh
1160	1	3	12	1979	148	15	14	台江区工业路485号	苦	跨界思维,乒乓球	冒险类	334	AhAEL
1161	1	7	10	1971	159	16	7	晋安区福马路423号	咸	非常冷静,足球	智力类	154	y1aHT
1162	1	8	4	1980	13	18	14	台江区长乐南路553号	辣	洞察力,篮球	乐器类	269	NHQ3o
1163	1	9	10	2005	183	3	8	鼓楼区达明路684号	辣	爱玩,乒乓球	冒险类	50	ZEpAz
1164	2	2	12	1972	28	9	10	鼓楼区白马路333号	咸	创造力,篮球	智力类	247	18v5D
1165	1	7	5	1975	171	8	15	台江区鳌峰路526号	苦	善於分析,跑步	游戏类	269	G0cm3
1166	2	10	1	1975	29	12	11	台江区大同路283号	甜	幽默,爬山	收藏类	493	GIbXg
1167	1	1	9	2009	95	12	9	晋安区后浦路235号	咸	抗压力,跳绳	乐器类	165	SUq7g
1168	2	5	8	1975	126	18	14	鼓楼区达明路372号	辣	善於分析,跑步	乐器类	148	cg1Ag
1169	2	3	6	1992	100	16	7	晋安区连福路228号	咸	洞察力,滑旱冰	运动类	335	lY5ES
1170	2	2	6	2002	192	7	3	晋安区后浦路132号	辣	好奇,滑板	游戏类	423	gvNbe
1171	1	7	12	1993	195	10	14	鼓楼区福新路507号	酸	非常冷静,桌球	娱乐类	472	YzZUK
1172	1	10	5	1986	151	12	15	晋安区后浦路287号	甜	抗压力,举重	娱乐类	409	l5u0K
1173	1	1	4	1978	185	6	13	鼓楼区八一七路626号	咸	善於分析,举重	乐器类	169	K8WDe
1174	2	10	1	1991	103	6	10	台江区长乐南路489号	辣	非常冷静,篮球	游戏类	110	UeNmk
1175	1	7	2	1979	178	4	6	鼓楼区白马路100号	甜	勇敢,跑步	收藏类	351	iRDct
1176	1	8	9	1987	171	8	14	晋安区后浦路980号	辣	幽默,篮球	收藏类	342	ymgjj
1177	1	1	5	2010	17	15	7	晋安区连福路920号	咸	抗压力,跳绳	冒险类	401	2jGNg
1178	2	6	8	1980	19	7	10	鼓楼区白马路885号	甜	抗压力,滑板	智力类	329	wt8BF
1179	2	1	1	1990	99	2	5	鼓楼区达明路699号	苦	爱玩,足球	收藏类	128	7E171
1180	1	7	3	1995	195	14	6	鼓楼区福新路76号	甜	勇敢,爬山	收藏类	208	XZnyX
1181	2	9	11	1970	150	7	7	晋安区连福路443号	甜	洞察力,滑板	游戏类	430	8JUxw
1182	2	10	10	1987	181	18	14	台江区鳌峰路639号	甜	创造力,滑旱冰	冒险类	68	GpwaA
1183	2	1	2	1999	191	2	13	晋安区后浦路939号	咸	不计较,爬山	乐器类	429	YKsmp
1184	1	10	9	1988	142	6	3	晋安区长春路851号	咸	勇敢,桌球	乐器类	70	TGvnL
1185	2	1	11	1984	60	5	9	晋安区连福路709号	咸	跨界思维,乒乓球	娱乐类	230	EnEok
1186	1	5	6	1987	130	18	13	晋安区赤星路561号	咸	非常冷静,篮球	运动类	463	yJCbT
1187	1	2	4	2005	156	10	3	晋安区福马路598号	辣	抗压力,跳绳	运动类	326	4z56I
1188	2	6	7	1988	138	5	15	晋安区连福路412号	辣	善於分析,爬山	冒险类	172	JnbqY
1189	1	1	1	1970	150	18	3	晋安区后浦路502号	辣	不计较,滑板	智力类	137	JNMfQ
1190	2	5	7	1983	75	6	15	晋安区连福路571号	酸	爱玩,滑板	乐器类	447	sNLuI
1191	2	5	1	1997	71	17	5	晋安区福马路337号	咸	创造力,举重	冒险类	262	zdEYc
1192	1	9	7	1995	136	15	2	鼓楼区福新路176号	酸	不计较,举重	冒险类	497	KlWI1
1193	2	2	1	1992	193	5	14	晋安区长春路492号	咸	跨界思维,篮球	收藏类	83	iNlIa
1194	2	6	10	1997	95	12	13	台江区大同路864号	苦	知性,跳绳	乐器类	286	qdAmU
1195	1	9	11	2001	176	17	7	台江区长乐南路151号	苦	善於分析,滑旱冰	乐器类	460	LxiP4
1196	1	10	5	1999	27	15	10	晋安区后浦路897号	甜	爱玩,滑板	冒险类	250	k8heN
1197	1	9	3	2008	187	17	10	晋安区福马路193号	甜	知性,滑板	乐器类	187	4fVHM
1198	1	9	3	1992	83	7	5	台江区大同路267号	酸	爱玩,滑旱冰	乐器类	216	wRK1K
1199	2	3	10	1978	23	3	4	鼓楼区八一七路977号	酸	幽默,足球	运动类	351	J5K6O
1200	1	2	11	1981	177	6	1	台江区广达路390号	辣	知性,跳绳	游戏类	357	kjGKX
1201	1	5	7	1976	3	15	7	鼓楼区达明路146号	苦	爱玩,举重	收藏类	119	t5KkG
1202	2	4	6	1991	122	14	12	晋安区福马路287号	甜	善於分析,乒乓球	游戏类	251	JnhyY
1203	2	7	4	1999	166	3	13	晋安区长春路846号	咸	跨界思维,篮球	收藏类	185	Nql2D
1204	1	8	6	1972	151	10	15	晋安区连福路268号	甜	不计较,举重	智力类	357	ULF93
1205	2	10	11	1988	58	8	4	台江区工业路782号	甜	跨界思维,举重	娱乐类	97	fgGSy
1206	1	9	12	1986	25	17	3	台江区长乐南路487号	辣	勇敢,篮球	运动类	222	hlEX4
1207	1	9	3	2008	11	8	6	晋安区长春路29号	甜	不计较,爬山	收藏类	447	7yjTK
1208	1	6	3	1984	2	9	15	台江区广达路969号	苦	爱玩,滑板	冒险类	193	gIzzj
1209	1	8	8	1976	63	11	9	晋安区连福路306号	酸	非常冷静,举重	乐器类	368	DZUCt
1210	1	1	2	1976	173	12	13	台江区大同路823号	甜	不计较,举重	收藏类	104	m693z
1211	1	3	1	1974	36	12	3	晋安区连福路883号	苦	幽默,举重	娱乐类	171	UZ1wx
1212	2	5	4	1970	139	8	14	鼓楼区八一七路424号	苦	非常冷静,跑步	运动类	322	Te1aO
1213	2	3	4	1970	188	18	9	鼓楼区福新路23号	咸	跨界思维,滑板	冒险类	83	5xakC
1214	1	5	5	1997	83	14	1	台江区长乐南路645号	酸	不计较,举重	乐器类	304	o3s2g
1215	2	2	8	1988	189	2	14	晋安区福马路930号	酸	爱玩,跳绳	乐器类	378	doPFm
1216	1	10	10	1982	109	13	12	鼓楼区白马路222号	辣	跨界思维,跳绳	娱乐类	253	wsSfs
1217	2	4	6	1975	168	13	3	晋安区赤星路421号	咸	不计较,跳绳	智力类	50	so3i7
1218	2	6	11	1988	51	14	3	台江区长乐南路923号	辣	勇敢,篮球	娱乐类	191	YJV6N
1219	1	5	6	1984	27	3	8	台江区工业路114号	酸	创造力,足球	游戏类	372	JTykz
1220	2	8	12	1977	76	18	6	晋安区福马路482号	酸	直觉好,爬山	乐器类	257	3cMZu
1221	1	7	12	2002	158	2	7	晋安区福马路758号	酸	善於分析,滑板	智力类	241	SyN2q
1222	2	7	9	1984	123	4	14	台江区大同路560号	甜	跨界思维,爬山	游戏类	275	gbThO
1223	1	10	12	1989	149	19	15	晋安区连福路214号	甜	抗压力,跳绳	乐器类	249	i45Wc
1224	1	3	6	1999	37	13	6	晋安区长春路554号	苦	善於分析,乒乓球	游戏类	396	iRLDv
1225	1	8	12	2000	181	4	1	台江区广达路523号	酸	跨界思维,跑步	游戏类	470	B5P1q
1226	2	8	6	2004	163	19	15	台江区长乐南路486号	甜	善於分析,篮球	娱乐类	461	U1CN6
1227	2	4	12	1973	71	20	14	晋安区长春路401号	苦	不计较,乒乓球	智力类	163	FLPWO
1228	2	5	8	1999	43	9	12	台江区鳌峰路895号	辣	抗压力,乒乓球	智力类	62	b7HQs
1229	2	5	11	1970	108	17	9	台江区工业路242号	辣	善於分析,跳绳	游戏类	56	Uk5QP
1230	1	10	3	1980	88	4	9	鼓楼区白马路509号	辣	抗压力,跳绳	娱乐类	313	TywoJ
1231	1	9	4	1984	181	1	11	鼓楼区八一七路57号	辣	非常冷静,乒乓球	智力类	311	By1Aa
1232	2	4	6	1995	150	3	10	台江区工业路230号	甜	善於分析,足球	冒险类	126	bBbNS
1233	1	10	6	2010	90	8	15	晋安区后浦路956号	甜	抗压力,足球	智力类	145	UUEdE
1234	2	10	11	1993	73	13	5	鼓楼区达明路418号	甜	勇敢,足球	乐器类	266	EElqt
1235	1	6	8	2010	64	6	5	台江区广达路679号	酸	创造力,举重	智力类	241	8eA0U
1236	1	5	7	1999	200	3	7	鼓楼区白马路964号	辣	勇敢,桌球	游戏类	245	JW3jk
1237	2	5	7	1971	32	18	8	鼓楼区福新路550号	酸	非常冷静,举重	收藏类	470	AMuey
1238	1	10	3	1977	151	13	11	台江区广达路369号	咸	非常冷静,桌球	冒险类	461	DTRRG
1239	2	2	12	1999	52	11	1	鼓楼区福新路436号	苦	爱玩,跳绳	冒险类	232	i3LKC
1240	2	7	9	2000	125	12	15	台江区长乐南路388号	酸	创造力,足球	智力类	406	RF724
1241	2	1	9	1998	116	5	9	鼓楼区达明路553号	辣	好奇,桌球	冒险类	366	l1MEW
1242	2	1	2	1991	132	7	15	台江区鳌峰路492号	苦	幽默,举重	冒险类	484	4MdED
1243	2	6	5	2010	50	5	13	台江区鳌峰路182号	酸	不计较,滑旱冰	收藏类	243	oMQjg
1244	2	6	1	1999	105	19	8	台江区广达路566号	苦	善於分析,举重	娱乐类	165	lkufc
1245	1	6	5	1978	86	7	2	晋安区赤星路174号	酸	勇敢,足球	冒险类	71	hlk4N
1246	1	1	6	2005	22	8	7	鼓楼区白马路722号	苦	爱玩,举重	游戏类	156	e3f8e
1247	2	9	11	1974	12	5	6	鼓楼区达明路3号	甜	勇敢,跳绳	娱乐类	122	g1Lyp
1248	2	4	12	1996	159	8	7	台江区大同路802号	酸	幽默,足球	娱乐类	338	N8d4u
1249	1	3	10	2010	11	9	2	晋安区长春路386号	咸	善於分析,桌球	冒险类	128	Vrea7
1250	2	2	9	1989	187	11	9	晋安区后浦路897号	酸	抗压力,足球	收藏类	345	emvzX
1251	1	8	3	1980	192	16	2	鼓楼区达明路633号	辣	知性,跳绳	乐器类	348	DHGKk
1252	1	9	3	1973	34	19	6	台江区广达路929号	甜	知性,举重	乐器类	81	4JibV
1253	1	8	1	1994	171	2	13	晋安区福马路906号	咸	知性,跑步	智力类	373	duJUi
1254	2	5	3	2002	60	3	10	鼓楼区达明路447号	甜	抗压力,滑旱冰	游戏类	360	D5npr
1255	1	9	1	2003	169	8	4	鼓楼区福新路837号	咸	善於分析,举重	游戏类	284	4EV0o
1256	2	4	2	1982	83	14	9	台江区长乐南路124号	辣	非常冷静,举重	冒险类	368	cV0ep
1257	2	9	12	1984	45	7	2	鼓楼区福新路322号	咸	不计较,乒乓球	运动类	442	ubUsr
1258	2	10	6	1976	154	11	10	鼓楼区白马路553号	酸	非常冷静,爬山	运动类	239	vdZYf
